query_x,subject_x,identity,coverage,qlength,bitscore,E-value_x,norm_bitscore_x,query_y,subject_y,norm_bitscore_y,E-value_y
tr|A0A1E1G814|A0A1E1G814_PYTBI,tr|A1IHG9|A1IHG9_LATCH,80.603,232,45,242,2.3e-115,5.377777777777778,tr|A1IHG9|A1IHG9_LATCH,tr|U3NKU0|U3NKU0_PYTBI,4.405172413793103,0.0
tr|A0A1S7J055|A0A1S7J055_PYTBI,tr|H3B5N8|H3B5N8_LATCH,100.0,50,0,651,3.1900000000000004e-27,0.0,tr|H3B5N8|H3B5N8_LATCH,tr|A0A1C9ZMY3|A0A1C9ZMY3_PYTBI,17.272727272727273,8.6
tr|A0A218KFB2|A0A218KFB2_PYTBI,tr|Q9PSF7|Q9PSF7_LATCH,75.61,41,10,218,4.59e-05,21.8,tr|Q9PSF7|Q9PSF7_LATCH,tr|T1RLF1|T1RLF1_PYTBI,4.243697478991597,0.0
tr|A0A2P1AGD5|A0A2P1AGD5_PYTBI,tr|H2ZSG1|H2ZSG1_LATCH,48.276,29,15,565,0.97,37.666666666666664,tr|H2ZSG1|H2ZSG1_LATCH,tr|A0A5B9CH71|A0A5B9CH71_PYTBI,6.388888888888889,4.6
tr|A0A2P1AGE4|A0A2P1AGE4_PYTBI,tr|H3AYD0|H3AYD0_LATCH,42.308,26,15,180,0.62,12.0,tr|H3AYD0|H3AYD0_LATCH,tr|A0A2P1AGE4|A0A2P1AGE4_PYTBI,11.714285714285714,0.002
tr|A0A2P1AGE8|A0A2P1AGE8_PYTBI,tr|H3A036|H3A036_LATCH,28.571,70,41,109,0.01,2.658536585365854,tr|H3A036|H3A036_LATCH,tr|A0A2P1AGE8|A0A2P1AGE8_PYTBI,2.2439024390243905,2.73e-05
tr|A0A2R3YZX0|A0A2R3YZX0_PYTBI,tr|H3ATS3|H3ATS3_LATCH,35.593,59,22,548,0.46,24.90909090909091,tr|H3ATS3|H3ATS3_LATCH,tr|A0A2R3YZX0|A0A2R3YZX0_PYTBI,7.7727272727272725,0.003
tr|A0A2R3YZX3|A0A2R3YZX3_PYTBI,tr|H3A036|H3A036_LATCH,27.848,79,52,122,0.072,2.3461538461538463,tr|H3A036|H3A036_LATCH,tr|A0A2P1AGE8|A0A2P1AGE8_PYTBI,2.2439024390243905,2.73e-05
tr|A0A2R3YZX8|A0A2R3YZX8_PYTBI,tr|H3BE65|H3BE65_LATCH,29.897,97,54,257,0.16,4.7592592592592595,tr|H3BE65|H3BE65_LATCH,tr|A0A2R3YZX8|A0A2R3YZX8_PYTBI,2.240740740740741,0.001
tr|A0A3G9I9P9|A0A3G9I9P9_PYTBI,tr|M3XHS5|M3XHS5_LATCH,97.561,41,1,375,2.42e-19,375.0,tr|M3XHS5|M3XHS5_LATCH,tr|A0A1C9ZN22|A0A1C9ZN22_PYTBI,49.0,3.9000000000000004e-26
tr|A0A4P8NEP3|A0A4P8NEP3_PYTBI,tr|A1IHG9|A1IHG9_LATCH,80.275,218,43,235,9.850000000000001e-105,5.465116279069767,tr|A1IHG9|A1IHG9_LATCH,tr|U3NKU0|U3NKU0_PYTBI,4.405172413793103,0.0
tr|A0A4P8NNV6|A0A4P8NNV6_PYTBI,tr|H3AT31|H3AT31_LATCH,72.17,212,54,296,2.19e-108,5.481481481481482,tr|H3AT31|H3AT31_LATCH,tr|A0A4P8NNV6|A0A4P8NNV6_PYTBI,3.8333333333333335,3.8e-111
tr|A0A516EYV6|A0A516EYV6_PYTBI,tr|H3BA41|H3BA41_LATCH,28.061,196,116,416,2.15e-14,3.586206896551724,tr|H3BA41|H3BA41_LATCH,tr|A0A516EYV6|A0A516EYV6_PYTBI,1.9741379310344827,4.9e-17
tr|A0A5B9C4N0|A0A5B9C4N0_PYTBI,tr|H3A5N4|H3A5N4_LATCH,80.591,474,91,977,0.0,10.736263736263735,tr|H3A5N4|H3A5N4_LATCH,tr|A0A5B9C4N0|A0A5B9C4N0_PYTBI,38.18181818181818,6.1
tr|A0A5B9C685|A0A5B9C685_PYTBI,tr|H3A6M9|H3A6M9_LATCH,58.333,300,115,397,1.98e-125,3.4521739130434783,tr|H3A6M9|H3A6M9_LATCH,tr|A0A5B9C685|A0A5B9C685_PYTBI,2.5652173913043477,5.83e-128
tr|A0A5B9C784|A0A5B9C784_PYTBI,tr|H3B990|H3B990_LATCH,67.905,296,92,541,5.309999999999999e-150,5.880434782608695,tr|H3B990|H3B990_LATCH,tr|A0A5B9C784|A0A5B9C784_PYTBI,3.217391304347826,2.54e-152
tr|A0A5B9C8I2|A0A5B9C8I2_PYTBI,tr|H3AD23|H3AD23_LATCH,69.258,326,197,3160,0.015,64.48979591836735,tr|H3AD23|H3AD23_LATCH,tr|A0A5B9C8I2|A0A5B9C8I2_PYTBI,9.129032258064516,5.2
tr|A0A5B9C9N7|A0A5B9C9N7_PYTBI,tr|H3B208|H3B208_LATCH,78.947,375,238,21843,2.8,412.1320754716981,tr|H3B208|H3B208_LATCH,tr|A0A5B9C9N7|A0A5B9C9N7_PYTBI,8.45945945945946,8.1
tr|A0A5B9CAL3|A0A5B9CAL3_PYTBI,tr|H3AIX9|H3AIX9_LATCH,74.87,386,97,696,0.0,7.175257731958763,tr|H3AIX9|H3AIX9_LATCH,tr|A0A5B9CAL3|A0A5B9CAL3_PYTBI,3.979381443298969,0.0
tr|A0A5B9CCK8|A0A5B9CCK8_PYTBI,tr|H3A3T5|H3A3T5_LATCH,87.978,366,211,2853,5.29e-32,64.8409090909091,tr|H3A3T5|H3A3T5_LATCH,tr|A0A5B9CCK8|A0A5B9CCK8_PYTBI,8.318181818181818,1.52e-33
tr|A0A5B9CD63|A0A5B9CD63_PYTBI,tr|H3AZI9|H3AZI9_LATCH,73.358,274,70,609,3.6400000000000004e-122,8.7,tr|H3AZI9|H3AZI9_LATCH,tr|A0A5B9CD63|A0A5B9CD63_PYTBI,3.7777777777777777,1.8200000000000002e-122
tr|A0A5B9CEZ9|A0A5B9CEZ9_PYTBI,tr|H2ZSF7|H2ZSF7_LATCH,72.816,412,103,970,3.7,74.61538461538461,tr|H2ZSF7|H2ZSF7_LATCH,tr|A0A5B9CEZ9|A0A5B9CEZ9_PYTBI,15.090909090909092,0.017
tr|A0A5B9CG11|A0A5B9CG11_PYTBI,tr|H3AB25|H3AB25_LATCH,70.871,333,96,703,2.24e-149,7.322916666666667,tr|H3AB25|H3AB25_LATCH,tr|A0A5B9CG11|A0A5B9CG11_PYTBI,3.5833333333333335,3.88e-152
tr|A0A5B9CH71|A0A5B9CH71_PYTBI,tr|H3BCY1|H3BCY1_LATCH,51.613,341,148,1828,6.959999999999999e-101,12.35135135135135,tr|H3BCY1|H3BCY1_LATCH,tr|A0A5B9CH71|A0A5B9CH71_PYTBI,2.188311688311688,1.2
tr|A0A5B9CII4|A0A5B9CII4_PYTBI,tr|H3AIL3|H3AIL3_LATCH,73.016,268,168,1660,0.058,36.888888888888886,tr|H3AIL3|H3AIL3_LATCH,tr|A0A5B9CII4|A0A5B9CII4_PYTBI,3.7058823529411766,0.000778
tr|A0A5B9CJU9|A0A5B9CJU9_PYTBI,tr|H2ZTQ4|H2ZTQ4_LATCH,88.589,333,55,539,0.19,14.18421052631579,tr|H2ZTQ4|H2ZTQ4_LATCH,tr|A0A5B9CJU9|A0A5B9CJU9_PYTBI,8.763157894736842,0.12
tr|A0A5B9CL22|A0A5B9CL22_PYTBI,tr|H3AE22|H3AE22_LATCH,76.38,326,77,502,0.0,6.51948051948052,tr|H3AE22|H3AE22_LATCH,tr|A0A5B9CL22|A0A5B9CL22_PYTBI,4.233766233766234,2.24e-180
tr|A0A5B9CMQ0|A0A5B9CMQ0_PYTBI,sp|O03166|NU2M_LATCH,55.556,180,80,191,1.41e-59,2.3875,sp|O03166|NU2M_LATCH,tr|U3NGQ8|U3NGQ8_PYTBI,2.066265060240964,9.16e-97
tr|A0A5B9CNI0|A0A5B9CNI0_PYTBI,tr|H2ZY21|H2ZY21_LATCH,54.721,466,210,1646,0.002,7.838095238095238,tr|H2ZY21|H2ZY21_LATCH,tr|A0A5B9CNI0|A0A5B9CNI0_PYTBI,2.2142857142857144,0.000767
tr|A0A5B9CNQ2|A0A5B9CNQ2_PYTBI,tr|A1IHH9|A1IHH9_LATCH,66.092,174,59,230,3.1199999999999998e-83,3.8983050847457625,tr|A1IHH9|A1IHH9_LATCH,tr|T1RLR4|T1RLR4_PYTBI,2.5448275862068965,8.420000000000001e-164
tr|A0A5B9CQS7|A0A5B9CQS7_PYTBI,tr|H3A217|H3A217_LATCH,77.714,350,77,441,0.0,5.7272727272727275,tr|H3A217|H3A217_LATCH,tr|A0A5B9CQS7|A0A5B9CQS7_PYTBI,4.532467532467533,0.0
tr|A0A5B9CRP4|A0A5B9CRP4_PYTBI,tr|H3AC66|H3AC66_LATCH,84.896,384,110,482,1.1,8.310344827586206,tr|H3AC66|H3AC66_LATCH,tr|A0A5B9CRP4|A0A5B9CRP4_PYTBI,17.6,5.3
tr|A0A6M4AIH6|A0A6M4AIH6_PYTBI,tr|A1IHG9|A1IHG9_LATCH,77.586,116,26,233,2.7099999999999998e-48,8.961538461538462,tr|A1IHG9|A1IHG9_LATCH,tr|U3NKU0|U3NKU0_PYTBI,4.405172413793103,0.0
tr|A0A7D3U2N0|A0A7D3U2N0_PYTBI,tr|A0A7D3ULH1|A0A7D3ULH1_LATCH,70.438,274,77,271,1.59e-137,3.5194805194805197,tr|A0A7D3ULH1|A0A7D3ULH1_LATCH,tr|A0A7D3U2N0|A0A7D3U2N0_PYTBI,3.5454545454545454,3.1999999999999997e-140
tr|A0A809RUW6|A0A809RUW6_PYTBI,tr|H3ATH9|H3ATH9_LATCH,83.265,245,41,254,1.95e-138,6.195121951219512,tr|H3ATH9|H3ATH9_LATCH,tr|A0A809RUW6|A0A809RUW6_PYTBI,5.975609756097561,1.14e-148
tr|A0A809SIL4|A0A809SIL4_PYTBI,tr|H3ATH9|H3ATH9_LATCH,82.857,245,42,254,4.85e-138,6.0476190476190474,tr|H3ATH9|H3ATH9_LATCH,tr|A0A809RUW6|A0A809RUW6_PYTBI,5.975609756097561,1.14e-148
tr|C0LLJ7|C0LLJ7_PYTBI,tr|A1IHH9|A1IHH9_LATCH,66.316,95,32,134,1.78e-40,4.1875,tr|A1IHH9|A1IHH9_LATCH,tr|T1RLR4|T1RLR4_PYTBI,2.5448275862068965,8.420000000000001e-164
tr|D1FX66|D1FX66_PYTBI,tr|H3B686|H3B686_LATCH,52.736,201,92,328,5.17e-78,3.5652173913043477,tr|H3B686|H3B686_LATCH,tr|D1FX66|D1FX66_PYTBI,2.2282608695652173,1.75e-80
tr|G9FK43|G9FK43_PYTBI,tr|H3AYS5|H3AYS5_LATCH,52.885,1040,479,1106,0.000203,2.3089770354906056,tr|H3AYS5|H3AYS5_LATCH,tr|G9FK43|G9FK43_PYTBI,7.52054794520548,4.14e-07
tr|G9FK68|G9FK68_PYTBI,tr|H2ZVV3|H2ZVV3_LATCH,53.276,580,264,792,0.0,3.0,tr|H2ZVV3|H2ZVV3_LATCH,tr|G9FK68|G9FK68_PYTBI,2.1856060606060606,0.0
tr|M9Z9E0|M9Z9E0_PYTBI,tr|A1IHG9|A1IHG9_LATCH,78.448,116,25,233,3.58e-49,9.32,tr|A1IHG9|A1IHG9_LATCH,tr|U3NKU0|U3NKU0_PYTBI,4.405172413793103,0.0
tr|Q1EL73|Q1EL73_PYTBI,tr|H3AAI0|H3AAI0_LATCH,47.543,692,320,685,0.0,2.140625,tr|H3AAI0|H3AAI0_LATCH,tr|Q1EL73|Q1EL73_PYTBI,2.080597014925373,0.0
tr|Q6TGR3|Q6TGR3_PYTBI,tr|H3BBC4|H3BBC4_LATCH,72.368,76,18,129,5.71e-25,7.166666666666667,tr|H3BBC4|H3BBC4_LATCH,tr|Q6TGR3|Q6TGR3_PYTBI,3.9523809523809526,1.2899999999999999e-39
tr|Q8UWI8|Q8UWI8_PYTBI,tr|H3A9Z1|H3A9Z1_LATCH,30.058,173,95,393,1.06e-14,4.136842105263158,tr|H3A9Z1|H3A9Z1_LATCH,tr|Q8UWI8|Q8UWI8_PYTBI,1.8210526315789475,6.37e-17
tr|R9UAK1|R9UAK1_PYTBI,tr|A1IHG7|A1IHG7_LATCH,64.087,323,113,322,2.14e-141,2.849557522123894,tr|A1IHG7|A1IHG7_LATCH,tr|R9UAK1|R9UAK1_PYTBI,2.849557522123894,5.2299999999999995e-152
tr|R9UAK9|R9UAK9_PYTBI,tr|A1IHH2|A1IHH2_LATCH,54.425,226,102,226,2.78e-55,2.215686274509804,tr|A1IHH2|A1IHH2_LATCH,tr|R9UAK9|R9UAK9_PYTBI,2.2058823529411766,6.93e-65
tr|R9UAL2|R9UAL2_PYTBI,tr|A1IHH7|A1IHH7_LATCH,54.783,575,248,604,0.0,2.435483870967742,tr|A1IHH7|A1IHH7_LATCH,tr|U3NE49|U3NE49_PYTBI,2.3902439024390243,0.0
tr|R9UBG4|R9UBG4_PYTBI,tr|A1IHH0|A1IHH0_LATCH,54.709,223,100,222,6.08e-91,2.22,tr|A1IHH0|A1IHH0_LATCH,tr|U3NE99|U3NE99_PYTBI,2.215686274509804,2.26e-92
tr|R9UBG8|R9UBG8_PYTBI,tr|A1IHH5|A1IHH5_LATCH,40.625,96,57,96,4.230000000000001e-21,1.6842105263157894,tr|A1IHH5|A1IHH5_LATCH,tr|U3NFU6|U3NFU6_PYTBI,1.6842105263157894,3.88e-24
tr|R9UCV2|R9UCV2_PYTBI,tr|A1IHG9|A1IHG9_LATCH,77.104,511,117,511,0.0,4.367521367521367,tr|A1IHG9|A1IHG9_LATCH,tr|U3NKU0|U3NKU0_PYTBI,4.405172413793103,0.0
tr|R9UCV3|R9UCV3_PYTBI,tr|A1IHH4|A1IHH4_LATCH,53.982,113,49,116,9.62e-37,2.36734693877551,tr|A1IHH4|A1IHH4_LATCH,tr|R9UCV3|R9UCV3_PYTBI,2.326530612244898,6.55e-34
tr|R9UCV7|R9UCV7_PYTBI,tr|A1IHH9|A1IHH9_LATCH,59.218,358,145,378,6.41e-153,2.606896551724138,tr|A1IHH9|A1IHH9_LATCH,tr|T1RLR4|T1RLR4_PYTBI,2.5448275862068965,8.420000000000001e-164
tr|R9UE01|R9UE01_PYTBI,tr|H3A1R6|H3A1R6_LATCH,72.727,11,3,591,3.4,197.0,tr|H3A1R6|H3A1R6_LATCH,tr|R9UE01|R9UE01_PYTBI,18.333333333333332,0.066
tr|R9UE05|R9UE05_PYTBI,tr|A1IHH6|A1IHH6_LATCH,56.209,459,188,455,5.87e-166,2.4202127659574466,tr|A1IHH6|A1IHH6_LATCH,tr|U3NEA3|U3NEA3_PYTBI,2.406417112299465,1.75e-169
tr|R9UE79|R9UE79_PYTBI,sp|O03166|NU2M_LATCH,49.699,332,167,343,4.0099999999999997e-82,2.053892215568862,sp|O03166|NU2M_LATCH,tr|U3NGQ8|U3NGQ8_PYTBI,2.066265060240964,9.16e-97
tr|R9UE83|R9UE83_PYTBI,sp|O03170|COX3_LATCH,70.498,261,77,261,1.7899999999999998e-128,3.3896103896103895,sp|O03170|COX3_LATCH,tr|R9UE83|R9UE83_PYTBI,3.3896103896103895,1.19e-138
tr|R9UE86|R9UE86_PYTBI,tr|A1IHH8|A1IHH8_LATCH,36.709,79,44,76,2.64e-07,1.7272727272727273,tr|A1IHH8|A1IHH8_LATCH,tr|U3NGR4|U3NGR4_PYTBI,1.696969696969697,2.32e-12
tr|T1RLE3|T1RLE3_PYTBI,tr|A1IHG9|A1IHG9_LATCH,77.426,505,114,505,0.0,4.4298245614035086,tr|A1IHG9|A1IHG9_LATCH,tr|U3NKU0|U3NKU0_PYTBI,4.405172413793103,0.0
tr|T1RLF1|T1RLF1_PYTBI,tr|A1IHG9|A1IHG9_LATCH,77.624,505,113,505,0.0,4.469026548672566,tr|A1IHG9|A1IHG9_LATCH,tr|U3NKU0|U3NKU0_PYTBI,4.405172413793103,0.0
tr|T1RLF9|T1RLF9_PYTBI,tr|A1IHH9|A1IHH9_LATCH,59.218,358,145,378,5.41e-153,2.606896551724138,tr|A1IHH9|A1IHH9_LATCH,tr|T1RLR4|T1RLR4_PYTBI,2.5448275862068965,8.420000000000001e-164
tr|T1RLJ9|T1RLJ9_PYTBI,tr|A1IHG9|A1IHG9_LATCH,77.426,505,114,505,0.0,4.4298245614035086,tr|A1IHG9|A1IHG9_LATCH,tr|U3NKU0|U3NKU0_PYTBI,4.405172413793103,0.0
tr|T1RLK5|T1RLK5_PYTBI,tr|A1IHH9|A1IHH9_LATCH,59.218,358,145,378,5.59e-153,2.606896551724138,tr|A1IHH9|A1IHH9_LATCH,tr|T1RLR4|T1RLR4_PYTBI,2.5448275862068965,8.420000000000001e-164
tr|T1RLR4|T1RLR4_PYTBI,tr|A1IHH9|A1IHH9_LATCH,59.218,358,145,378,6.239999999999999e-153,2.606896551724138,tr|A1IHH9|A1IHH9_LATCH,tr|T1RLR4|T1RLR4_PYTBI,2.5448275862068965,8.420000000000001e-164
tr|U3NE46|U3NE46_PYTBI,tr|A1IHH2|A1IHH2_LATCH,53.982,226,103,226,6.55e-55,2.1941747572815533,tr|A1IHH2|A1IHH2_LATCH,tr|R9UAK9|R9UAK9_PYTBI,2.2058823529411766,6.93e-65
tr|U3NE49|U3NE49_PYTBI,tr|A1IHH7|A1IHH7_LATCH,54.957,575,247,604,0.0,2.445344129554656,tr|A1IHH7|A1IHH7_LATCH,tr|U3NE49|U3NE49_PYTBI,2.3902439024390243,0.0
tr|U3NE99|U3NE99_PYTBI,tr|A1IHH0|A1IHH0_LATCH,54.425,226,102,225,6.68e-92,2.2058823529411766,tr|A1IHH0|A1IHH0_LATCH,tr|U3NE99|U3NE99_PYTBI,2.215686274509804,2.26e-92
tr|U3NEA3|U3NEA3_PYTBI,tr|G4LAI3|G4LAI3_LATCH,56.427,459,187,455,8.42e-167,2.4331550802139037,tr|G4LAI3|G4LAI3_LATCH,tr|U3NEA3|U3NEA3_PYTBI,2.406417112299465,1.7300000000000002e-169
tr|U3NFU6|U3NFU6_PYTBI,tr|A1IHH5|A1IHH5_LATCH,40.625,96,57,96,1.89e-21,1.6842105263157894,tr|A1IHH5|A1IHH5_LATCH,tr|U3NFU6|U3NFU6_PYTBI,1.6842105263157894,3.88e-24
tr|U3NGQ8|U3NGQ8_PYTBI,sp|O03166|NU2M_LATCH,50.0,332,166,343,5.19e-83,2.066265060240964,sp|O03166|NU2M_LATCH,tr|U3NGQ8|U3NGQ8_PYTBI,2.066265060240964,9.16e-97
tr|U3NGR4|U3NGR4_PYTBI,tr|A1IHH8|A1IHH8_LATCH,32.075,159,85,149,2.16e-07,1.7529411764705882,tr|A1IHH8|A1IHH8_LATCH,tr|U3NGR4|U3NGR4_PYTBI,1.696969696969697,2.32e-12
tr|U3NKU0|U3NKU0_PYTBI,tr|A1IHG9|A1IHG9_LATCH,77.299,511,116,511,0.0,4.405172413793103,tr|A1IHG9|A1IHG9_LATCH,tr|U3NKU0|U3NKU0_PYTBI,4.405172413793103,0.0
tr|W8QDY8|W8QDY8_PYTBI,tr|A1IHG8|A1IHG8_LATCH,60.784,51,18,57,3.95e-12,3.1666666666666665,tr|A1IHG8|A1IHG8_LATCH,tr|U3NGQ8|U3NGQ8_PYTBI,2.066265060240964,2.65e-96
tr|W8QEQ3|W8QEQ3_PYTBI,tr|A1IHG8|A1IHG8_LATCH,60.87,46,18,57,1.94e-12,3.1666666666666665,tr|A1IHG8|A1IHG8_LATCH,tr|U3NGQ8|U3NGQ8_PYTBI,2.066265060240964,2.65e-96
tr|W8QMU4|W8QMU4_PYTBI,sp|O03166|NU2M_LATCH,60.87,46,18,57,1.94e-12,3.1666666666666665,sp|O03166|NU2M_LATCH,tr|U3NGQ8|U3NGQ8_PYTBI,2.066265060240964,9.16e-97
tr|W8QMU8|W8QMU8_PYTBI,tr|A1IHG8|A1IHG8_LATCH,58.696,46,19,57,5.31e-12,3.0,tr|A1IHG8|A1IHG8_LATCH,tr|U3NGQ8|U3NGQ8_PYTBI,2.066265060240964,2.65e-96
tr|W8QR75|W8QR75_PYTBI,tr|A1IHG8|A1IHG8_LATCH,60.87,46,18,57,1.94e-12,3.1666666666666665,tr|A1IHG8|A1IHG8_LATCH,tr|U3NGQ8|U3NGQ8_PYTBI,2.066265060240964,2.65e-96
tr|W8R9A4|W8R9A4_PYTBI,tr|A1IHG8|A1IHG8_LATCH,58.696,46,19,57,1.05e-11,3.0,tr|A1IHG8|A1IHG8_LATCH,tr|U3NGQ8|U3NGQ8_PYTBI,2.066265060240964,2.65e-96
tr|X2CWR1|X2CWR1_PYTBI,tr|H3AMH9|H3AMH9_LATCH,48.571,140,61,150,1.94e-26,2.459016393442623,tr|H3AMH9|H3AMH9_LATCH,tr|X2CX87|X2CX87_PYTBI,2.021276595744681,1.13e-48
tr|X2CX87|X2CX87_PYTBI,tr|H3BAT2|H3BAT2_LATCH,74.89,227,55,225,7.64e-115,4.090909090909091,tr|H3BAT2|H3BAT2_LATCH,tr|X2CX87|X2CX87_PYTBI,4.127272727272727,6.17e-124
